epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,734.105,1.55612,1.964,1.3992,0.8313,0.72091,0.76775,0.51522,1.10756,4.77819,1.0548,0.00999501,0.00333167,0.00999501,0.00333167,0.00999501,0.00333167,0.00999501,0.00333167
2,1393.5,1.19536,1.1951,1.14699,0.90554,0.72683,0.80123,0.57568,1.01039,2.88938,0.99985,0.0195991,0.00653304,0.0195991,0.00653304,0.0195991,0.00653304,0.0195991,0.00653304
3,2021.7,1.19065,1.23657,1.14543,0.90955,0.72635,0.7993,0.57344,1.01856,3.45726,1.00249,0.0288072,0.0096024,0.0288072,0.0096024,0.0288072,0.0096024,0.0288072,0.0096024
4,2637.94,1.16121,1.18799,1.13297,0.88484,0.7666,0.8139,0.60839,0.94059,3.69698,0.96688,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3254.59,1.09247,1.05005,1.09202,0.89159,0.77473,0.82983,0.63935,0.90438,2.73076,0.94201,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3871.13,1.0525,0.9714,1.06893,0.8799,0.7914,0.84501,0.66008,0.86196,3.19513,0.93302,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4489,1.02576,0.91381,1.0536,0.94053,0.77184,0.84646,0.67077,0.83719,3.63612,0.9177,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5105.6,1.00166,0.868,1.04359,0.88623,0.78814,0.842,0.67896,0.81676,3.13419,0.90449,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5722.96,0.97939,0.82424,1.03064,0.92778,0.80514,0.86335,0.70059,0.78269,3.22736,0.89499,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6340.48,0.96257,0.79845,1.02259,0.89528,0.79783,0.85224,0.69861,0.78064,3.5359,0.89163,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6958.13,0.95257,0.77866,1.01645,0.91181,0.79916,0.86461,0.70578,0.77782,3.45963,0.88955,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7576.04,0.93537,0.75601,1.01002,0.92508,0.80553,0.86562,0.71866,0.75294,3.87416,0.87875,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8193.4,0.92238,0.72632,1.00194,0.89198,0.79977,0.85981,0.71076,0.76129,4.01517,0.88541,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8810.04,0.91424,0.71209,0.99763,0.91372,0.80272,0.86639,0.71944,0.74673,3.84932,0.87801,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
